jurisdiction,year,prisoner_count,state_population,incarceration rate (%)
NEVADA,2006,12754,2495529,0.511074005
NEW HAMPSHIRE,2006,2676,1314895,0.203514349
NEW JERSEY,2006,25554,8724560,0.292897292
NEW MEXICO,2006,6639,1954599,0.339660462
NEW YORK,2006,63538,19306183,0.329107002
NORTH CAROLINA,2006,37725,8856505,0.425958095
NORTH DAKOTA,2006,1337,635867,0.210264096
OHIO,2006,48482,11478006,0.42239044
OKLAHOMA,2006,22873,3579212,0.639051277
OREGON,2006,13191,3700758,0.356440491
PENNSYLVANIA,2006,43971,12440621,0.353446986
RHODE ISLAND,2006,3713,1067610,0.347786177
SOUTH CAROLINA,2006,22930,4321249,0.53063362
SOUTH DAKOTA,2006,3316,781919,0.424084848
TENNESSEE,2006,19312,6038803,0.319798477
TEXAS,2006,158510,23507783,0.67428732
UTAH,2006,5031,2550063,0.197289243
VERMONT,2006,2215,623908,0.355020291
VIRGINIA,2006,30823,7642884,0.403290172
WASHINGTON,2006,16827,6395798,0.263094613
WEST VIRGINIA,2006,4367,1818470,0.240146937
WISCONSIN,2006,22564,5556506,0.406082527
WYOMING,2006,2035,515004,0.395142562
ALABAMA,2007,25253,4627851,0.545674439
ALASKA,2007,5151,683478,0.753645326
ARIZONA,2007,37700,6338755,0.594754017
ARKANSAS,2007,13275,2834797,0.4682875
CALIFORNIA,2007,171444,36553215,0.469025775
COLORADO,2007,22666,4861515,0.466233263
CONNECTICUT,2007,19438,3502309,0.555005284
DELAWARE,2007,7110,864764,0.822189638
FLORIDA,2007,95187,18251243,0.521537081
GEORGIA,2007,54256,9544750,0.568438147
HAWAII,2007,5457,1283388,0.425202667
IDAHO,2007,7055,1499402,0.470520914
ILLINOIS,2007,45215,12852548,0.351797947
INDIANA,2007,25137,6345289,0.396152169
IOWA,2007,8692,2988046,0.290892443
KANSAS,2007,8721,2775997,0.3141574
KENTUCKY,2007,15364,4241474,0.362232563
LOUISIANA,2007,20461,4293204,0.476590444
MAINE,2007,2148,1317207,0.163072319
MARYLAND,2007,23184,5618344,0.412648282
MASSACHUSETTS,2007,11071,6449755,0.171649931
MICHIGAN,2007,50233,10071822,0.498747893
MINNESOTA,2007,9192,5197621,0.17685014
MISSISSIPPI,2007,17478,2918785,0.598810807
MISSOURI,2007,29823,5878415,0.507330632
MONTANA,2007,2909,957861,0.303697509
NEBRASKA,2007,4402,1774571,0.248059954
NEVADA,2007,13311,2565382,0.518870094
NEW HAMPSHIRE,2007,2759,1315828,0.209677861
NEW JERSEY,2007,25354,8685920,0.291897692
NEW MEXICO,2007,6429,1969915,0.326359259
NEW YORK,2007,62738,19297729,0.325105612
NORTH CAROLINA,2007,38240,9061032,0.422026983
NORTH DAKOTA,2007,1392,639715,0.217596899
OHIO,2007,49894,11466917,0.435112594
OKLAHOMA,2007,23778,3617316,0.657338203
OREGON,2007,13373,3747455,0.356855519
PENNSYLVANIA,2007,45530,12432792,0.366208974
RHODE ISLAND,2007,3745,1057832,0.35402597
SOUTH CAROLINA,2007,23578,4407709,0.534926421
SOUTH DAKOTA,2007,3276,796214,0.411447174
TENNESSEE,2007,19268,6156719,0.312958899
TEXAS,2007,158576,23904380,0.663376335
UTAH,2007,5165,2645330,0.195249742
VERMONT,2007,2116,621254,0.340601429
VIRGINIA,2007,32977,7712091,0.427601282
WASHINGTON,2007,16911,6468424,0.261439262
WEST VIRGINIA,2007,4907,1812035,0.270800509
WISCONSIN,2007,22839,5601640,0.407719882
WYOMING,2007,1927,522830,0.368571046
ALABAMA,2008,25363,4661900,0.544048564
ALASKA,2008,4997,686293,0.728114668
ARIZONA,2008,39455,6500180,0.606983191
ARKANSAS,2008,13135,2855390,0.460007214
CALIFORNIA,2008,171085,36756666,0.465452987
COLORADO,2008,23211,4939456,0.469910047
CONNECTICUT,2008,19905,3501252,0.568510921
DELAWARE,2008,6944,873092,0.795334283
FLORIDA,2008,99878,18328340,0.544937512
GEORGIA,2008,52719,9685744,0.54429479
HAWAII,2008,5455,1288198,0.423459748
IDAHO,2008,7033,1523816,0.461538663
ILLINOIS,2008,45474,12901563,0.352468922
INDIANA,2008,26392,6376792,0.413875817
IOWA,2008,8723,3002555,0.290519241
KANSAS,2008,8556,2802134,0.305338717
KENTUCKY,2008,15260,4269245,0.35744025
LOUISIANA,2008,20857,4410796,0.472862495
MAINE,2008,2047,1316456,0.155493233
MARYLAND,2008,23141,5633597,0.410767756
MASSACHUSETTS,2008,11174,6497967,0.171961477
MICHIGAN,2008,48738,10003422,0.487213276
MINNESOTA,2008,9031,5220393,0.172994639
MISSISSIPPI,2008,17896,2938618,0.608993751
MISSOURI,2008,30137,5911605,0.509793872
MONTANA,2008,2910,967440,0.300793848
NEBRASKA,2008,4470,1783432,0.250640338
NEVADA,2008,12877,2600167,0.495237421
NEW HAMPSHIRE,2008,2854,1315809,0.216900781
NEW JERSEY,2008,24835,8682661,0.286029824
NEW MEXICO,2008,6321,1984356,0.318541633
NEW YORK,2008,60198,19490297,0.308861379
NORTH CAROLINA,2008,39957,9222414,0.433259665
NORTH DAKOTA,2008,1379,641481,0.214971293
OHIO,2008,50884,11485910,0.443012352
OKLAHOMA,2008,23676,3642361,0.650017942
OREGON,2008,13541,3790060,0.357276666
PENNSYLVANIA,2008,48736,12448279,0.391507935
RHODE ISLAND,2008,3739,1050788,0.355828198
SOUTH CAROLINA,2008,23685,4479800,0.528706639
SOUTH DAKOTA,2008,3352,804194,0.416814848
TENNESSEE,2008,19379,6214888,0.311815756
TEXAS,2008,159237,24326974,0.654569697
UTAH,2008,5132,2736424,0.187544036
VERMONT,2008,2116,621270,0.340592657
VIRGINIA,2008,32585,7769089,0.419418544
WASHINGTON,2008,17188,6549224,0.262443306
WEST VIRGINIA,2008,4896,1814468,0.269831157
WISCONSIN,2008,22282,5627967,0.395915612
WYOMING,2008,1704,532668,0.319899074
ALABAMA,2009,27241,4708708,0.578523875
ALASKA,2009,5472,698473,0.783423268
ARIZONA,2009,40544,6595778,0.61469625
ARKANSAS,2009,13338,2889450,0.461610341
CALIFORNIA,2009,168830,36961664,0.456770561
COLORADO,2009,22725,5024748,0.452261487
CONNECTICUT,2009,18938,3518288,0.53827316
DELAWARE,2009,6581,885122,0.743513324
FLORIDA,2009,101373,18537969,0.54683984
GEORGIA,2009,53538,9829211,0.544682579
HAWAII,2009,4848,1295178,0.374311485
IDAHO,2009,7184,1545801,0.464742874
ILLINOIS,2009,45161,12910409,0.349803016
INDIANA,2009,26748,6423113,0.416433589
IOWA,2009,8914,3007856,0.296357272
KANSAS,2009,8644,2818747,0.30666108
KENTUCKY,2009,14984,4314113,0.347325163
LOUISIANA,2009,19889,4492076,0.442757424
MAINE,2009,2074,1318301,0.157323707
MARYLAND,2009,22066,5699478,0.387158263
MASSACHUSETTS,2009,11156,6593587,0.169194704
MICHIGAN,2009,45478,9969727,0.456160936
MINNESOTA,2009,9500,5266214,0.180395252
MISSISSIPPI,2009,17212,2951996,0.583063121
MISSOURI,2009,30519,5987580,0.50970509
MONTANA,2009,3085,974989,0.316413826
NEBRASKA,2009,4490,1796619,0.249913866
NEVADA,2009,12570,2643085,0.475580619
NEW HAMPSHIRE,2009,2915,1324575,0.220070589
NEW JERSEY,2009,24115,8707739,0.276937561
NEW MEXICO,2009,6584,2009671,0.327615814
NEW YORK,2009,58479,19541453,0.299256151
NORTH CAROLINA,2009,40133,9380884,0.427816824
NORTH DAKOTA,2009,1436,646844,0.222000977
OHIO,2009,50783,11542645,0.439959819
OKLAHOMA,2009,24053,3687050,0.652364356
OREGON,2009,13735,3825657,0.3590233
PENNSYLVANIA,2009,50485,12604767,0.400523072
RHODE ISLAND,2009,3413,1053209,0.324057238
SOUTH CAROLINA,2009,23685,4561242,0.519266463
SOUTH DAKOTA,2009,3390,812383,0.417290859
TENNESSEE,2009,19932,6296254,0.316569185
TEXAS,2009,158542,24782302,0.639738794
UTAH,2009,5244,2784572,0.188323376
VERMONT,2009,2220,621760,0.357050952
VIRGINIA,2009,30995,7882590,0.393208324
WASHINGTON,2009,17255,6664195,0.258920995
WEST VIRGINIA,2009,5062,1819777,0.278165951
WISCONSIN,2009,22262,5654774,0.393685053
WYOMING,2009,1743,544270,0.320245466
ALABAMA,2010,27345,4785401,0.571425467
ALASKA,2010,5369,714146,0.751807053
ARIZONA,2010,40130,6413158,0.625744758
ARKANSAS,2010,14192,2921588,0.485763222
CALIFORNIA,2010,162821,37338198,0.436070857
COLORADO,2010,22752,5047692,0.450740655
CONNECTICUT,2010,18629,3575498,0.521018331
DELAWARE,2010,6378,899792,0.708830485
FLORIDA,2010,102070,18838613,0.541812712
GEORGIA,2010,52794,9712157,0.543586765
HAWAII,2010,5294,1363359,0.388305648
IDAHO,2010,7235,1571102,0.460504792
ILLINOIS,2010,48418,12841980,0.377029087
INDIANA,2010,27273,6490622,0.420190854
IOWA,2010,9457,3050202,0.31004504
KANSAS,2010,9055,2859143,0.316703292
KENTUCKY,2010,14501,4347223,0.333569269
LOUISIANA,2010,19008,4545343,0.418186262
MAINE,2010,1954,1327379,0.147207391
MARYLAND,2010,22856,5785681,0.395044248
MASSACHUSETTS,2010,11162,6555466,0.170270123
MICHIGAN,2010,44113,9877143,0.446617003
MINNESOTA,2010,9397,5310658,0.176946058
MISSISSIPPI,2010,16454,2970072,0.553993304
MISSOURI,2010,30577,5995715,0.509980878
MONTANA,2010,3137,990958,0.316562357
NEBRASKA,2010,4608,1830141,0.251783879
NEVADA,2010,12192,2704283,0.450840389
NEW HAMPSHIRE,2010,2617,1316807,0.198738312
NEW JERSEY,2010,24488,8799593,0.278285598
NEW MEXICO,2010,6659,2065913,0.322327223
NEW YORK,2010,56420,19395206,0.290896627
NORTH CAROLINA,2010,40375,9560234,0.422322299
NORTH DAKOTA,2010,1416,674629,0.209893141
OHIO,2010,51709,11537968,0.448163836
OKLAHOMA,2010,24147,3760184,0.642176021
OREGON,2010,13859,3838332,0.361068297
PENNSYLVANIA,2010,48087,12717722,0.378110168
RHODE ISLAND,2010,3159,1052528,0.300134533
SOUTH CAROLINA,2010,23009,4637106,0.4961931
SOUTH DAKOTA,2010,3393,816598,0.415504324
TENNESSEE,2010,20037,6357436,0.315174231
TEXAS,2010,160242,25253466,0.634534681
UTAH,2010,5442,2775479,0.196074263
VERMONT,2010,2079,625909,0.332156911
VIRGINIA,2010,31911,8023953,0.397696746
WASHINGTON,2010,17028,6742950,0.252530421
WEST VIRGINIA,2010,5072,1854368,0.273516368
WISCONSIN,2010,22033,5691659,0.387110331
WYOMING,2010,2092,564554,0.370557998
ALABAMA,2011,26813,4803689,0.558175186
ALASKA,2011,6216,723860,0.858729589
ARIZONA,2011,39949,6467315,0.617706111
ARKANSAS,2011,14090,2938582,0.479482962
CALIFORNIA,2011,147578,37683933,0.391620482
COLORADO,2011,21862,5116302,0.427300812
CONNECTICUT,2011,17877,3586717,0.498422373
DELAWARE,2011,6546,908137,0.720816353
FLORIDA,2011,100861,19082262,0.528558931
GEORGIA,2011,52844,9812460,0.538539775
HAWAII,2011,5454,1378129,0.395753953
IDAHO,2011,7470,1583744,0.471667138
ILLINOIS,2011,48427,12859752,0.376578024
INDIANA,2011,27402,6516353,0.420511289
IOWA,2011,9115,3064097,0.297477528
KANSAS,2011,9330,2870386,0.325043391
KENTUCKY,2011,14001,4366814,0.32062277
LOUISIANA,2011,18844,4574766,0.411911779
MAINE,2011,1978,1328544,0.148884794
MARYLAND,2011,23001,5839572,0.393881606
MASSACHUSETTS,2011,11467,6607003,0.173558268
MICHIGAN,2011,42904,9876801,0.434391662
MINNESOTA,2011,9309,5347299,0.17408789
