,Deaths,Population,Overdose Rate,Unemployment Rate,Median Income,prisoner_count,incarceration rate (%)
152,1007,9620846,10.3199,5.8,46360,53538,0.544682579
153,1054,9687653,10.7099,5.0,55701,52794,0.543586765
154,1058,9815210,10.6608,5.6,60389,52844,0.538539775
155,1056,9919945,10.5933,7.5,60834,55178,0.556474081
156,1098,9992167,10.8204,4.7,47077,53701,0.537291595
157,1206,10097343,11.8978,5.7,53301,52719,0.522107648
158,1302,10214860,12.6797,3.7,57415,52002,0.509081867
159,1394,10310371,13.3349,6.6,50797,53433,0.518081915
160,77,1225948,6.185,6.4,42406,5116,0.41694376
161,77,1239613,6.1251,6.1,42786,5069,0.408571868
162,92,1251154,7.1104,5.5,53444,5499,0.440358597
163,103,1273569,7.9546,4.5,57810,5555,0.440131081
164,126,1292729,9.4443,5.3,48060,5739,0.450726393
165,86,1309731,6.4367,6.8,54916,5510,0.42862766
166,136,1315675,10.0354,5.6,53438,5457,0.425202667
167,123,1332213,8.9609,4.1,71223,5455,0.423459748
168,136,1346717,9.6033,4.8,49555,4848,0.374311485
169,151,1360301,10.880999999999998,5.2,46140,5294,0.388305648
170,180,1374810,12.3987,4.3,57522,5454,0.395753953
171,155,1392313,10.9729,5.4,70161,5297,0.381054464
172,158,1404054,11.0087,6.0,60940,5173,0.367143203
173,157,1419561,10.8528,6.8,60487,5390,0.379694849
174,169,1431603,11.3281,5.9,44922,5413,0.378107618
175,191,1428557,12.7513,5.7,49254,5182,0.362711672
176,98,1319962,7.8232,5.7,55173,5270,0.399065566
177,117,1340372,9.1332,8.1,58875,5451,0.405844881
178,102,1363380,7.9078,5.5,47199,5558,0.406573648
179,98,1391802,7.4015,6.2,49644,5758,0.412718437
180,109,1428241,8.0535,3.7,60730,6249,0.437186531
181,130,1468669,9.3376,6.4,46784,6665,0.454494311
182,126,1505105,8.645,6.4,54310,7055,0.470520914
183,146,1534320,9.8008,5.9,46686,7033,0.461538663
184,171,1554439,11.5925,5.8,65243,7184,0.464742874
185,178,1567582,11.8102,4.3,73397,7235,0.460504792
186,193,1584985,12.86,5.1,49875,7470,0.471667138
187,181,1595728,11.9173,3.9,56870,7715,0.483520203
188,207,1612136,13.3532,4.7,51102,7219,0.447594713
189,212,1634464,13.7097,5.6,56630,7497,0.458682479
190,218,1654930,14.1941,6.3,35521,7238,0.437359888
191,243,1683140,15.2208,4.9,67244,7221,0.429814777
192,892,12488445,7.1423,4.0,52219,44348,0.35421083
193,986,12525556,7.9132,5.0,67781,42693,0.339198187
194,847,12556006,6.7553,5.5,63371,43418,0.34325007
195,1035,12589773,8.2932,6.2,57528,44054,0.346554001
196,1067,12609903,8.4224,5.7,39919,44919,0.351880121
197,1369,12643955,10.8554,5.0,50602,45106,0.351512667
198,1192,12695866,9.3839,7.5,61137,45215,0.351797947
199,1353,12747038,10.597000000000001,5.7,41381,45474,0.352468922
200,1381,12796778,10.7813,4.3,55690,45161,0.349803016
201,1288,12830632,9.9923,5.7,58080,48418,0.377029087
202,1408,12869257,10.9406,6.0,39552,48427,0.376578024
203,1628,12875255,12.5277,7.4,59068,49348,0.383488217
204,1579,12882135,12.104000000000001,4.1,66155,48653,0.377431471
205,1705,12880580,13.13,4.3,60708,48278,0.374812314
206,1835,12859995,14.0925,5.6,63383,46240,0.359564681
207,2411,12801539,18.8737,6.7,53875,43616,0.339801582
208,283,6127760,4.6642,4.3,45369,19646,0.32065977
